place,time,x,y,theta
husky_black,1630354616.3476713,-672.4630113225863,-1228.848929460507,1.4683334923991656
ridgeback,1630354616.3476713,3787.8888872684856,-1064.063026340702,0.1540971131417081
oarbot_silver,1630354616.3476713,753.9066476892316,48.82191388026434,-0.5335451103140945
oarbot_blue,1630354616.3476713,4396.702651314682,352.08779045368516,-1.1919121568823265
husky_blue,1630354616.3476713,-1352.1612957035227,830.2489032940515,-2.5386160996089138
husky_black,1630354616.9516826,-672.4630113225863,-1228.848929460507,1.4683334923991656
ridgeback,1630354616.9516826,3786.5859572584823,-1065.4445666983047,0.1546808827255674
oarbot_silver,1630354616.9516826,753.9066476892316,48.82191388026434,-0.5335451103140945
oarbot_blue,1630354616.9516826,4380.692379346824,351.4027098948227,-1.1896803131853677
husky_blue,1630354616.9516826,-1358.3589263971398,832.3116021231782,-2.5382387938420843
husky_black,1630354617.4065804,-672.4630113225863,-1228.848929460507,1.4683334923991656
ridgeback,1630354617.4065804,3786.5859572584823,-1065.4445666983047,0.1546808827255674
oarbot_silver,1630354617.4065804,752.8113845215133,47.67805165688356,-0.5329935803625891
oarbot_blue,1630354617.4065804,4403.003079681954,352.08727206573514,-1.1873025475187025
husky_blue,1630354617.4065804,-1361.8919660519828,834.0351104653045,-2.5413299995141396
husky_black,1630354617.8460598,-672.4630113225863,-1228.848929460507,1.4683334923991656
ridgeback,1630354617.8460598,3786.5859572584823,-1065.4445666983047,0.1546808827255674
oarbot_silver,1630354617.8460598,753.9066476892316,48.82191388026434,-0.5335451103140945
oarbot_blue,1630354617.8460598,4387.934387388392,350.81380811631345,-1.1961905573650153
husky_blue,1630354617.8460598,-1360.5090249372772,833.0789723801287,-2.537757023946134
husky_black,1630354618.2910216,-668.7536343637056,-1226.6095520334886,1.4678345924217648
ridgeback,1630354618.2910216,3786.5859572584823,-1065.4445666983047,0.1546808827255674
oarbot_silver,1630354618.2910216,753.4695691352229,48.764442706679375,-0.5266662631186398
oarbot_blue,1630354618.2910216,4378.519216373622,348.69846291435846,-1.189378050019293
husky_blue,1630354618.2910216,-1355.260858009908,831.4772073330398,-2.538401409536038
husky_black,1630354618.7328768,-672.4630113225863,-1228.848929460507,1.4683334923991656
ridgeback,1630354618.7328768,3791.5567978556787,-1066.4740894032918,0.16087201664824743
oarbot_silver,1630354618.7328768,751.9274306719375,47.88058117371065,-0.5355687629672026
oarbot_blue,1630354618.7328768,4396.097185659498,352.12042972152756,-1.1920587394554056
husky_blue,1630354618.7328768,-1355.260858009908,831.4772073330398,-2.538401409536038
husky_black,1630354619.3170469,-668.7536343637056,-1226.6095520334886,1.4678345924217648
ridgeback,1630354619.3170469,3786.5859572584823,-1065.4445666983047,0.1546808827255674
oarbot_silver,1630354619.3170469,753.6493854239804,47.65648945024211,-0.5321233361659127
oarbot_blue,1630354619.3170469,4387.934387388392,350.81380811631345,-1.1961905573650153
husky_blue,1630354619.3170469,-1360.5090249372772,833.0789723801287,-2.537757023946134
husky_black,1630354619.7987676,-672.4630113225863,-1228.848929460507,1.4683334923991656
ridgeback,1630354619.7987676,3791.5567978556787,-1066.4740894032918,0.16087201664824743
oarbot_silver,1630354619.7987676,752.87248777256,48.3381599214874,-0.5217311021538932
oarbot_blue,1630354619.7987676,4396.097185659498,352.12042972152756,-1.1920587394554056
husky_blue,1630354619.7987676,-1360.5090249372772,833.0789723801287,-2.537757023946134
husky_black,1630354620.2780187,-672.4630113225863,-1228.848929460507,1.4683334923991656
